date,channelGrouping,userAgeBracket,userType,sessions,transactions
20190308,Email - Newsletter Franquicias - Non Paid,65+,Returning Visitor,22,0
20190308,Email - Newsletter Offline - Non Paid,18-24,New Visitor,52,0
20190308,Email - Newsletter Offline - Non Paid,18-24,Returning Visitor,193,1
20190308,Email - Newsletter Offline - Non Paid,25-34,New Visitor,263,0
20190308,Email - Newsletter Offline - Non Paid,25-34,Returning Visitor,1180,5
20190308,Email - Newsletter Offline - Non Paid,35-44,New Visitor,348,1
20190308,Email - Newsletter Offline - Non Paid,35-44,Returning Visitor,1654,6
20190308,Email - Newsletter Offline - Non Paid,45-54,New Visitor,326,0
20190308,Email - Newsletter Offline - Non Paid,45-54,Returning Visitor,1895,5
20190308,Email - Newsletter Offline - Non Paid,55-64,New Visitor,283,0
20190308,Email - Newsletter Offline - Non Paid,55-64,Returning Visitor,1603,5
20190308,Email - Newsletter Offline - Non Paid,65+,New Visitor,174,0
20190308,Email - Newsletter Offline - Non Paid,65+,Returning Visitor,1134,2
20190308,Email - Newsletter Online - Non Paid,18-24,New Visitor,32,0
20190308,Email - Newsletter Online - Non Paid,18-24,Returning Visitor,127,7
20190308,Email - Newsletter Online - Non Paid,25-34,New Visitor,144,0
20190308,Email - Newsletter Online - Non Paid,25-34,Returning Visitor,707,7
20190308,Email - Newsletter Online - Non Paid,35-44,New Visitor,185,1
20190308,Email - Newsletter Online - Non Paid,35-44,Returning Visitor,1138,21
20190308,Email - Newsletter Online - Non Paid,45-54,New Visitor,175,2
20190308,Email - Newsletter Online - Non Paid,45-54,Returning Visitor,1090,14
20190308,Email - Newsletter Online - Non Paid,55-64,New Visitor,134,0
20190308,Email - Newsletter Online - Non Paid,55-64,Returning Visitor,827,10
20190308,Email - Newsletter Online - Non Paid,65+,New Visitor,84,0
20190308,Email - Newsletter Online - Non Paid,65+,Returning Visitor,397,5
20190308,Email - Newsletter Outlet - Non Paid,18-24,New Visitor,20,0
20190308,Email - Newsletter Outlet - Non Paid,18-24,Returning Visitor,45,0
20190308,Email - Newsletter Outlet - Non Paid,25-34,New Visitor,125,0
20190308,Email - Newsletter Outlet - Non Paid,25-34,Returning Visitor,269,1
20190308,Email - Newsletter Outlet - Non Paid,35-44,New Visitor,138,0
20190308,Email - Newsletter Outlet - Non Paid,35-44,Returning Visitor,407,4
20190308,Email - Newsletter Outlet - Non Paid,45-54,New Visitor,136,0
20190308,Email - Newsletter Outlet - Non Paid,45-54,Returning Visitor,440,1
20190308,Email - Newsletter Outlet - Non Paid,55-64,New Visitor,103,0
20190308,Email - Newsletter Outlet - Non Paid,55-64,Returning Visitor,315,1
20190308,Email - Newsletter Outlet - Non Paid,65+,New Visitor,47,0
20190308,Email - Newsletter Outlet - Non Paid,65+,Returning Visitor,167,0
20190308,Email - Other - Non Paid,18-24,New Visitor,16,0
20190308,Email - Other - Non Paid,25-34,New Visitor,65,0
20190308,Email - Other - Non Paid,25-34,Returning Visitor,69,0
20190308,Email - Other - Non Paid,35-44,New Visitor,65,0
20190308,Email - Other - Non Paid,35-44,Returning Visitor,88,0
20190308,Email - Other - Non Paid,45-54,New Visitor,53,0
20190308,Email - Other - Non Paid,45-54,Returning Visitor,75,0
20190308,Email - Other - Non Paid,55-64,New Visitor,44,0
20190308,Email - Other - Non Paid,55-64,Returning Visitor,37,0
20190308,Email - Other - Non Paid,65+,New Visitor,10,0
20190308,Email - Other - Non Paid,65+,Returning Visitor,15,0
20190308,Referral - Affiliates - Paid,18-24,New Visitor,36,0
20190308,Referral - Affiliates - Paid,18-24,Returning Visitor,59,1
20190308,Referral - Affiliates - Paid,25-34,New Visitor,128,0
20190308,Referral - Affiliates - Paid,25-34,Returning Visitor,197,3
20190308,Referral - Affiliates - Paid,35-44,New Visitor,171,0
20190308,Referral - Affiliates - Paid,35-44,Returning Visitor,247,8
20190308,Referral - Affiliates - Paid,45-54,New Visitor,211,0
20190308,Referral - Affiliates - Paid,45-54,Returning Visitor,262,3
20190308,Referral - Affiliates - Paid,55-64,New Visitor,166,1
20190308,Referral - Affiliates - Paid,55-64,Returning Visitor,294,3
20190308,Referral - Affiliates - Paid,65+,New Visitor,203,0
20190308,Referral - Affiliates - Paid,65+,Returning Visitor,204,4
20190308,Referral - Other - Non Paid,18-24,New Visitor,12,0
20190308,Referral - Other - Non Paid,25-34,New Visitor,16,0
